Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-g1a6,randomiser-62yd,Randomise questionnaire elements?,Question Key,Response
2,1636981022667,15/11/2021 12:57:02,1636981022404,-5,15/11/2021 07:57:02,68854,2,questionnaire-2kxl,,17161727,BLIND,5068310,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,2560x1440,2327x1208,,Generic consent form,1,personality,,No,ConsentFlag,1
3,1636981022948,15/11/2021 12:57:02,1636981022405,-5,15/11/2021 07:57:02,68854,2,questionnaire-2kxl,,17161727,BLIND,5068310,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,2560x1440,2327x1208,,Generic consent form,1,personality,,No,END QUESTIONNAIRE,2966
1,1636858759075,14/11/2021 02:59:19,1636858758867,11,14/11/2021 13:59:18,68854,2,questionnaire-2kxl,,17138263,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,Generic consent form,1,personality,,No,BEGIN QUESTIONNAIRE,
2,1636858782972,14/11/2021 02:59:42,1636858782821,11,14/11/2021 13:59:42,68854,2,questionnaire-2kxl,,17138263,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,Generic consent form,1,personality,,No,ConsentFlag,1
3,1636858783272,14/11/2021 02:59:43,1636858782825,11,14/11/2021 13:59:42,68854,2,questionnaire-2kxl,,17138263,BLIND,5062159,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.44,1920x1080,1920x937,,Generic consent form,1,personality,,No,END QUESTIONNAIRE,23959
1,1636833910059,13/11/2021 20:05:10,1636833909995,0,13/11/2021 20:05:09,68854,2,questionnaire-2kxl,,17134592,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,Generic consent form,1,society,,No,BEGIN QUESTIONNAIRE,
2,1636833914789,13/11/2021 20:05:14,1636833914769,0,13/11/2021 20:05:14,68854,2,questionnaire-2kxl,,17134592,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,Generic consent form,1,society,,No,ConsentFlag,1
3,1636833914867,13/11/2021 20:05:14,1636833914770,0,13/11/2021 20:05:14,68854,2,questionnaire-2kxl,,17134592,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,Generic consent form,1,society,,No,END QUESTIONNAIRE,4775
1,1667811223396,07/11/2022 08:53:43,1667811223234,0,07/11/2022 08:53:43,68854,2,questionnaire-2kxl,,25059372,BLIND,7401215,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1429x711,,Generic consent form,1,society,,No,BEGIN QUESTIONNAIRE,
2,1667811225743,07/11/2022 08:53:45,1667811225625,0,07/11/2022 08:53:45,68854,2,questionnaire-2kxl,,25059372,BLIND,7401215,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1429x711,,Generic consent form,1,society,,No,ConsentFlag,1
3,1667811225854,07/11/2022 08:53:45,1667811225626,0,07/11/2022 08:53:45,68854,2,questionnaire-2kxl,,25059372,BLIND,7401215,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1429x711,,Generic consent form,1,society,,No,END QUESTIONNAIRE,2392
1,1667815987460,07/11/2022 10:13:07,1667815987389,0,07/11/2022 10:13:07,68854,2,questionnaire-2kxl,,25061339,BLIND,7402002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x722,,Generic consent form,1,personality,,No,BEGIN QUESTIONNAIRE,
2,1667815990318,07/11/2022 10:13:10,1667815990305,0,07/11/2022 10:13:10,68854,2,questionnaire-2kxl,,25061339,BLIND,7402002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x722,,Generic consent form,1,personality,,No,ConsentFlag,1
3,1667815990393,07/11/2022 10:13:10,1667815990306,0,07/11/2022 10:13:10,68854,2,questionnaire-2kxl,,25061339,BLIND,7402002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x722,,Generic consent form,1,personality,,No,END QUESTIONNAIRE,2917
1,1667908075703,08/11/2022 11:47:55,1667908075969,0,08/11/2022 11:47:55,68854,2,questionnaire-2kxl,,25100765,BLIND,7412226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,Generic consent form,1,personality,,No,BEGIN QUESTIONNAIRE,
2,1667908082070,08/11/2022 11:48:02,1667908082218,0,08/11/2022 11:48:02,68854,2,questionnaire-2kxl,,25100765,BLIND,7412226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,Generic consent form,1,personality,,No,ConsentFlag,1
3,1667908082129,08/11/2022 11:48:02,1667908082224,0,08/11/2022 11:48:02,68854,2,questionnaire-2kxl,,25100765,BLIND,7412226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,Generic consent form,1,personality,,No,END QUESTIONNAIRE,6254
1,1667928672233,08/11/2022 17:31:12,1667928672224,0,08/11/2022 17:31:12,68854,2,questionnaire-2kxl,,25112740,BLIND,7416735,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1536x864,1490x754,,Generic consent form,1,society,,No,BEGIN QUESTIONNAIRE,
2,1667928693613,08/11/2022 17:31:33,1667928693680,0,08/11/2022 17:31:33,68854,2,questionnaire-2kxl,,25112740,BLIND,7416735,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1536x864,1490x754,,Generic consent form,1,society,,No,ConsentFlag,1
3,1667928693661,08/11/2022 17:31:33,1667928693683,0,08/11/2022 17:31:33,68854,2,questionnaire-2kxl,,25112740,BLIND,7416735,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1536x864,1490x754,,Generic consent form,1,society,,No,END QUESTIONNAIRE,21459
END OF FILE
